"language","metric","n","mean","median","std","min","p70","p80","p90","max","iqr","cv"
"Overall","lines_of_yaml","27759","71.79","47.0","103.94","6.0","70.0","90.0","137.0","4517.0","48.0","1.448"
"Overall","num_jobs","27759","1.68","1.0","3.07","1.0","1.0","2.0","3.0","250.0","0.0","1.83"
"Overall","num_steps","27759","7.94","5.0","14.64","0.0","8.0","10.0","16.0","1000.0","6.0","1.845"
"Overall","max_nesting_depth","27759","3.74","3.0","0.93","2.0","5.0","5.0","5.0","6.0","2.0","0.249"
"Overall","job_parallelism","27759","1.68","1.0","3.07","1.0","1.0","2.0","3.0","250.0","0.0","1.83"
"Overall","max_sequential_steps","27759","5.39","5.0","4.55","0.0","6.0","8.0","10.0","154.0","4.0","0.844"
"Overall","vertical_depth","27759","1.22","1.0","0.64","1.0","1.0","1.0","2.0","13.0","0.0","0.526"
"Overall","matrix_size","27759","2.31","0.0","16.78","0.0","0.0","2.0","6.0","2293.0","1.0","7.264"
"Overall","num_conditionals","27759","1.16","0.0","3.69","0.0","1.0","1.0","3.0","156.0","1.0","3.186"
"Overall","num_job_dependencies","27759","0.51","0.0","2.43","0.0","0.0","0.0","1.0","102.0","0.0","4.815"
"Overall","num_reusable_workflows","27759","0.14","0.0","0.65","0.0","0.0","0.0","0.0","20.0","0.0","4.792"
"Overall","num_unique_external_actions","27759","2.77","2.0","1.88","0.0","3.0","4.0","5.0","24.0","2.0","0.679"
"Overall","num_local_actions","27759","0.08","0.0","0.5","0.0","0.0","0.0","0.0","14.0","0.0","6.577"
"Overall","num_marketplace_actions","27759","0.85","1.0","1.2","0.0","1.0","1.0","2.0","16.0","1.0","1.419"
"Overall","avg_steps_per_job","27759","4.87","4.0","4.02","0.0","6.0","7.0","9.0","154.0","3.0","0.825"
"Overall","dependency_ratio","27759","0.1","0.0","0.28","0.0","0.0","0.0","0.5","3.52","0.0","2.697"
"Overall","external_action_diversity","27759","0.5","0.5","0.3","0.0","0.64","0.75","1.0","1.0","0.39","0.609"
"Overall","conditional_density","27759","0.1","0.0","0.17","0.0","0.11","0.18","0.33","1.0","0.14","1.799"
"C++","lines_of_yaml","6687","94.93","58.0","127.52","7.0","93.0","126.8","196.0","2869.0","74.0","1.343"
"C++","num_jobs","6687","1.89","1.0","2.34","1.0","1.0","2.0","4.0","47.0","1.0","1.239"
"C++","num_steps","6687","9.91","6.0","14.79","0.0","9.2","13.0","21.0","301.0","8.0","1.492"
"C++","max_nesting_depth","6687","3.82","3.0","0.95","2.0","5.0","5.0","5.0","5.0","2.0","0.248"
"C++","job_parallelism","6687","1.89","1.0","2.34","1.0","1.0","2.0","4.0","47.0","1.0","1.239"
"C++","max_sequential_steps","6687","6.26","5.0","5.99","0.0","7.0","9.0","12.0","154.0","5.0","0.956"
"C++","vertical_depth","6687","1.24","1.0","0.68","1.0","1.0","1.0","2.0","10.0","0.0","0.547"
"C++","matrix_size","6687","3.19","0.0","31.05","0.0","1.0","2.0","6.0","2293.0","2.0","9.733"
"C++","num_conditionals","6687","1.78","0.0","5.2","0.0","1.0","2.0","5.0","148.0","2.0","2.923"
"C++","num_job_dependencies","6687","0.66","0.0","3.01","0.0","0.0","0.0","1.0","102.0","0.0","4.545"
"C++","num_reusable_workflows","6687","0.17","0.0","0.86","0.0","0.0","0.0","0.0","19.0","0.0","4.943"
"C++","num_unique_external_actions","6687","2.67","2.0","2.0","0.0","3.0","4.0","5.0","20.0","3.0","0.749"
"C++","num_local_actions","6687","0.11","0.0","0.65","0.0","0.0","0.0","0.0","13.0","0.0","6.176"
"C++","num_marketplace_actions","6687","0.92","1.0","1.24","0.0","1.0","2.0","2.0","12.0","1.0","1.351"
"C++","avg_steps_per_job","6687","5.55","5.0","5.45","0.0","6.44","8.0","10.77","154.0","4.0","0.982"
"C++","dependency_ratio","6687","0.12","0.0","0.32","0.0","0.0","0.0","0.5","3.52","0.0","2.672"
"C++","external_action_diversity","6687","0.42","0.35","0.3","0.0","0.5","0.67","1.0","1.0","0.4","0.719"
"C++","conditional_density","6687","0.12","0.0","0.19","0.0","0.14","0.23","0.4","1.0","0.18","1.638"
"Java","lines_of_yaml","5733","62.04","42.0","83.21","7.0","62.0","78.0","115.0","2975.0","43.0","1.341"
"Java","num_jobs","5733","1.49","1.0","1.77","1.0","1.0","1.6","2.0","53.0","0.0","1.185"
"Java","num_steps","5733","6.46","4.0","10.43","0.0","6.0","8.0","13.0","311.0","5.0","1.615"
"Java","max_nesting_depth","5733","3.58","3.0","0.87","2.0","4.0","5.0","5.0","5.0","1.0","0.242"
"Java","job_parallelism","5733","1.49","1.0","1.77","1.0","1.0","1.6","2.0","53.0","0.0","1.185"
"Java","max_sequential_steps","5733","4.68","4.0","3.84","0.0","6.0","7.0","9.0","69.0","4.0","0.819"
"Java","vertical_depth","5733","1.2","1.0","0.65","1.0","1.0","1.0","2.0","12.0","0.0","0.544"
"Java","matrix_size","5733","1.13","0.0","6.65","0.0","0.0","1.0","2.0","261.0","0.0","5.869"
"Java","num_conditionals","5733","0.99","0.0","3.3","0.0","1.0","1.0","3.0","155.0","1.0","3.35"
"Java","num_job_dependencies","5733","0.43","0.0","2.46","0.0","0.0","0.0","1.0","85.0","0.0","5.779"
"Java","num_reusable_workflows","5733","0.18","0.0","0.58","0.0","0.0","0.0","1.0","9.0","0.0","3.16"
"Java","num_unique_external_actions","5733","2.76","2.0","2.03","0.0","3.0","4.0","5.0","20.0","2.0","0.734"
"Java","num_local_actions","5733","0.09","0.0","0.56","0.0","0.0","0.0","0.0","14.0","0.0","6.52"
"Java","num_marketplace_actions","5733","0.71","0.0","1.17","0.0","1.0","1.0","2.0","13.0","1.0","1.652"
"Java","avg_steps_per_job","5733","4.31","4.0","3.4","0.0","5.0","6.0","8.0","69.0","4.0","0.79"
"Java","dependency_ratio","5733","0.09","0.0","0.26","0.0","0.0","0.0","0.5","2.83","0.0","3.004"
"Java","external_action_diversity","5733","0.54","0.53","0.31","0.0","0.67","0.8","1.0","1.0","0.42","0.588"
"Java","conditional_density","5733","0.1","0.0","0.18","0.0","0.12","0.2","0.33","1.0","0.17","1.788"
"Python","lines_of_yaml","15339","65.35","45.0","97.8","6.0","66.0","81.0","120.0","4517.0","42.0","1.497"
"Python","num_jobs","15339","1.65","1.0","3.67","1.0","1.0","2.0","3.0","250.0","0.0","2.219"
"Python","num_steps","15339","7.63","5.0","15.79","0.0","7.0","10.0","14.0","1000.0","5.0","2.07"
"Python","max_nesting_depth","15339","3.76","3.0","0.94","2.0","5.0","5.0","5.0","6.0","2.0","0.25"
"Python","job_parallelism","15339","1.65","1.0","3.67","1.0","1.0","2.0","3.0","250.0","0.0","2.219"
"Python","max_sequential_steps","15339","5.28","5.0","3.98","0.0","6.0","7.0","9.0","102.0","4.0","0.753"
"Python","vertical_depth","15339","1.23","1.0","0.62","1.0","1.0","1.0","2.0","13.0","0.0","0.51"
"Python","matrix_size","15339","2.37","0.0","8.48","0.0","1.0","3.0","6.0","329.0","1.0","3.586"
"Python","num_conditionals","15339","0.95","0.0","2.94","0.0","1.0","1.0","3.0","156.0","1.0","3.075"
"Python","num_job_dependencies","15339","0.47","0.0","2.12","0.0","0.0","0.0","1.0","80.0","0.0","4.541"
"Python","num_reusable_workflows","15339","0.1","0.0","0.56","0.0","0.0","0.0","0.0","20.0","0.0","5.561"
"Python","num_unique_external_actions","15339","2.82","3.0","1.76","0.0","3.0","4.0","5.0","24.0","2.0","0.626"
"Python","num_local_actions","15339","0.06","0.0","0.39","0.0","0.0","0.0","0.0","11.0","0.0","6.504"
"Python","num_marketplace_actions","15339","0.86","1.0","1.19","0.0","1.0","1.0","2.0","16.0","1.0","1.374"
"Python","avg_steps_per_job","15339","4.79","4.0","3.42","0.0","5.67","6.5","8.0","86.0","3.0","0.714"
"Python","dependency_ratio","15339","0.1","0.0","0.27","0.0","0.0","0.0","0.5","3.0","0.0","2.597"
"Python","external_action_diversity","15339","0.52","0.5","0.29","0.0","0.6","0.8","1.0","1.0","0.35","0.567"
"Python","conditional_density","15339","0.08","0.0","0.16","0.0","0.08","0.17","0.29","1.0","0.12","1.874"
